07:21:36.420 logd             (10d163 10d163): INFO : Starting logd
07:21:46.856 mini_adas::activities::components               (10d1aa 10d1ae): DEBUG: Sending scan: RadarScan { distance_obstacle: 42.801, error_margin: -1.0 }
07:21:46.856 feo::worker                                     (10d1aa 10d1ae): DEBUG: Stepped activity GenericId { id: 1, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 17.251109ms
07:21:46.863 mini_adas::activities::components               (10d1aa 10d1ad): DEBUG: Sending image: CameraImage { num_people: 4, num_cars: 3, distance_obstacle: 44.622 }
07:21:46.863 feo::worker                                     (10d1aa 10d1ad): DEBUG: Stepped activity GenericId { id: 0, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 24.249104ms
07:21:46.863 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A2
07:21:46.863 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Stepping NeuralNet
07:21:46.891 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Inferring scene with neural network
07:21:46.891 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Sending Scene Scene { num_people: 4, num_cars: 3, distance_obstacle: 42.801, distance_left_lane: 0.8, distance_right_lane: 0.7 }
07:21:46.891 feo::worker                                     (10d1dd 10d1df): DEBUG: Stepped activity GenericId { id: 2, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 28.271421ms
07:21:46.891 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A6
07:21:46.892 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A3
07:21:46.892 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A5
07:21:46.892 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Stepping EmergencyBraking
07:21:46.892 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Stepping EnvironmentRenderer
07:21:46.892 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A12
07:21:46.893 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📡 Published DistractionMonitor: dms_val=0s
07:21:46.893 feo::worker                                     (10d22a 10d22d): DEBUG: Stepped activity GenericId { id: 13, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 40.361087ms
07:21:46.893 mini_adas::activities::components               (10d22a 10d22d): DEBUG: Stepping LKAS
07:21:46.920 mini_adas::activities::components               (10d22a 10d22d): DEBUG: LKAS: lane=2, status=Active, offset=0.00m, steer=-0.2
07:21:46.920 feo::worker                                     (10d22a 10d22d): DEBUG: Stepped activity GenericId { id: 12, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 27.258703ms
07:21:46.925 mini_adas::activities::components               (10d22a 10d22c): DEBUG: EmergencyBraking: distance=42.801, threshold=35, emergency_activated=false
07:21:46.925 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Emergency braking not needed (distance 42.801 > 35)
07:21:46.925 feo::worker                                     (10d22a 10d22c): DEBUG: Stepped activity GenericId { id: 6, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 33.20336ms
07:21:46.925 feo::worker                                     (10d22a 10d22c): DEBUG: Stepped activity GenericId { id: 5, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 11.547µs
07:21:46.925 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A10
07:21:46.925 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A9
07:21:46.925 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A7
07:21:46.925 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A8
07:21:46.925 mini_adas::activities::components               (10d22a 10d22d): DEBUG: Stepping DashboardPublisher
07:21:46.925 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Stepping BrakeController
07:21:46.929 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Rendering scene
07:21:46.929 feo::worker                                     (10d1dd 10d1df): DEBUG: Stepped activity GenericId { id: 3, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 37.143938ms
07:21:46.940 feo::worker                                     (10d22a 10d22c): DEBUG: Stepped activity GenericId { id: 10, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 15.235794ms
07:21:46.940 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Stepping SteeringController
07:21:46.959 mini_adas::activities::components               (10d22a 10d22c): DEBUG: SteeringController adjusting angle to 0.000
07:21:46.959 feo::worker                                     (10d22a 10d22c): DEBUG: Stepped activity GenericId { id: 7, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 18.413694ms
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Reading scene...
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Scene read complete
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Reading steering...
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Steering read complete
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Reading DMS...
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 DMS read complete
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Reading LKAS...
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 LKAS read complete
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Creating DashboardData...
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 DashboardData created with default()
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Scene data updated
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Before converting lkas_status
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 After converting lkas_status
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 LKAS data updated
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Checking DMS data availability
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 DMS data is OK, starting field copy
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Copied distraction_duration
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Copied gaze_direction
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Before cloning driver_status
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 Copied driver_status
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📍 DMS data section completed
07:21:46.968 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📋 Attempting to publish DashboardData: lane=2, gaze=Right, lkas_status=Active
07:21:46.969 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📡 Published DashboardData: speed=61.0km/h, lane=2, distraction=0.0s, status=Distracted
07:21:46.969 feo::worker                                     (10d22a 10d22d): DEBUG: Stepped activity GenericId { id: 9, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 43.491149ms
07:21:46.969 feo::worker                                     (10d22a 10d22d): DEBUG: Stepped activity GenericId { id: 8, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 6.299µs
07:21:46.969 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Finished task chain after 130.395431ms. Sleeping for 3.869604569s
07:21:50.838 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Starting task chain
07:21:50.838 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A11
07:21:50.839 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A0
07:21:50.839 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A1
07:21:50.839 mini_adas::activities::components               (10d1aa 10d1ad): DEBUG: Stepping Camera
07:21:50.839 mini_adas::activities::components               (10d1aa 10d1ae): DEBUG: Stepping Radar
07:21:50.839 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Stepping DMS
07:21:50.854 mini_adas::activities::components               (10d1aa 10d1ad): DEBUG: Sending image: CameraImage { num_people: 5, num_cars: 5, distance_obstacle: 43.899 }
07:21:50.854 feo::worker                                     (10d1aa 10d1ad): DEBUG: Stepped activity GenericId { id: 0, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 15.188286ms
07:21:50.868 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: DMS: distraction=400ms, gaze=Right, status=Distracted
07:21:50.868 feo::worker                                     (10d1dd 10d1df): DEBUG: Stepped activity GenericId { id: 11, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 29.392002ms
07:21:50.868 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A13
07:21:50.869 mini_adas::activities::components               (10d22a 10d22d): DEBUG: Stepping DistractionPublisher
07:21:50.870 mini_adas::activities::components               (10d1aa 10d1ae): DEBUG: Sending scan: RadarScan { distance_obstacle: 40.980000000000004, error_margin: -0.3 }
07:21:50.870 feo::worker                                     (10d1aa 10d1ae): DEBUG: Stepped activity GenericId { id: 1, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 31.210527ms
07:21:50.870 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A2
07:21:50.870 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Stepping NeuralNet
07:21:50.890 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Inferring scene with neural network
07:21:50.890 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Sending Scene Scene { num_people: 5, num_cars: 5, distance_obstacle: 40.980000000000004, distance_left_lane: 0.5, distance_right_lane: 0.9 }
07:21:50.890 feo::worker                                     (10d1dd 10d1df): DEBUG: Stepped activity GenericId { id: 2, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 20.356537ms
07:21:50.891 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A6
07:21:50.891 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A3
07:21:50.891 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A5
07:21:50.891 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A12
07:21:50.891 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Stepping EmergencyBraking
07:21:50.891 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Stepping EnvironmentRenderer
07:21:50.905 mini_adas::activities::components               (10d1dd 10d1df): DEBUG: Rendering scene
07:21:50.905 feo::worker                                     (10d1dd 10d1df): DEBUG: Stepped activity GenericId { id: 3, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 14.173973ms
07:21:50.905 mini_adas::activities::components               (10d22a 10d22c): DEBUG: EmergencyBraking: distance=40.980000000000004, threshold=35, emergency_activated=false
07:21:50.905 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Emergency braking not needed (distance 40.980000000000004 > 35)
07:21:50.905 feo::worker                                     (10d22a 10d22c): DEBUG: Stepped activity GenericId { id: 6, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 14.212907ms
07:21:50.905 feo::worker                                     (10d22a 10d22c): DEBUG: Stepped activity GenericId { id: 5, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 6.827µs
07:21:50.905 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A10
07:21:50.905 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A7
07:21:50.905 mini_adas::activities::components               (10d22a 10d22c): DEBUG: Stepping BrakeController
07:21:50.905 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering step for activity A8
07:21:50.908 mini_adas::activities::components               (10d22a 10d22d): DEBUG: 📡 Published DistractionMonitor: dms_val=0s
07:21:50.908 feo::worker                                     (10d22a 10d22d): DEBUG: Stepped activity GenericId { id: 13, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 39.341841ms
07:21:50.908 mini_adas::activities::components               (10d22a 10d22d): DEBUG: Stepping LKAS
07:21:50.932 mini_adas::activities::components               (10d22a 10d22d): DEBUG: LKAS: lane=2, status=Active, offset=0.00m, steer=-0.2
07:21:50.932 feo::worker                                     (10d22a 10d22d): DEBUG: Stepped activity GenericId { id: 12, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 24.171033ms
